,data,tfidf_value,row_no,sentence_offset,no_of_sentence,info_about_sentence
47,"BTS SUGA is a South Korean rapper, songwriter, and record producer",1.6884432112407604,416,0,35,First Sentence
48,"Bangtan TV dropped a behind-the-scene video of BTS members - RM, Jin, Suga, J-Hope, Jimin, Taehyung and Jungkook from their Grammy performance this year",1.689140534274971,117,0,22,First Sentence
49,BTS fans are waiting for RM aka Kim Namjoon's first album Indigo,1.689684457912998,731,0,15,First Sentence
50,"BTS ARMY you all would be missing the members a lot, right?",1.6899446486128948,3,0,17,First Sentence
51,BTS ARMY has a lot of work to do,1.69026457699695,639,0,18,First Sentence
52,BTS leader Kim Namjoon aka RM has dropped a bomb tonight,1.694311384293058,210,0,13,First Sentence
53,"BTS ARMY, today we are here to talk about AgustD aka Suga aka Min Yoongi",1.6947693692450216,623,0,22,First Sentence
54,Kim Seokjin is one of the most popular idols and BTS band members in the world,1.695179563149614,286,0,16,First Sentence
55,BTS member Jin aka Kim Seokjin will be heading to the military in a couple of days,1.695823470936078,207,0,13,First Sentence
56,BTS' Kim Seokjin aka Jin dropped his new single The Astronaut earlier today,1.6962297098943209,179,0,18,First Sentence
57,BTS member Jin's Astronaut looks like it will one of the big music videos of 2022,1.6964208372612866,626,0,17,First Sentence
58,BTS member Jin has confirmed his military enlistment,1.6965542671168994,572,0,21,First Sentence
59,BTS members who are now on Instagram engaged with fans after the concert While,1.696821089223953,421,0,15,First Sentence
60,"The Fact Music Awards 2022 was a treat for BTS fans as the members of the band, Jin, Suga, J-Hope, RM, Jimin, V, and Jungkook performed there, and also won multiple awards While",1.6971660487259224,222,0,11,First Sentence
61,BTS member Jin's new photo from his military training has surfaced on social media recently He enlisted in South Korean army in December 2022,1.697646025613046,577,0,10,First Sentence
62,BTS fans aka ARMY have travelled in large numbers for the Busan concert,1.6981505537823054,794,0,11,First Sentence
63,"When Jin asked Jungkook, if he should leave, he said '",1.698256797340972,326,0,24,First Sentence
64,BTS member Jin celebrated his birthday yesterday The eldest BTS member came live for a short time period and celebrated his birthday with the ARMYs,1.6985263877849333,259,0,18,First Sentence
65,BTS member Jin aka Kim Seokjin is in Los Angeles,1.7009982181691723,161,0,13,First Sentence
66,BTS leader RM aka Kim Namjoon's album Indigo is going to be out on December 2,1.7018423707495445,223,0,19,First Sentence
67,"A few days ago, BTS member Jin aka Kim Seok-jin was trending on Twitter after South Korean actor-producer-director Kim Nam Gil spoke about working with Jin",1.7034049557386246,558,0,14,First Sentence
68,BTS member Kim Taehyung aka V was in Paris for his work schedule,1.7034426021834463,761,0,19,First Sentence
69,BTS members seem to be using Instagram as their new group chat,1.704354024206328,589,0,22,First Sentence
70,"BTS dance leader, rapper and vocalist J-Hope aka Jung Hoseok has just released his song, More",1.7045795840525233,196,0,16,First Sentence
71,"Jimin is part of the vocal line of BTS comprising RM, Jin, Suga, J-Hope, V and Jungkook",1.7050291870317558,141,0,17,First Sentence
72,"Kim Seokjin aka Jin the eldest member of BTS, one of the biggest boy bands in the world is going to drop his solo single soon",1.7054319561399833,11,0,14,First Sentence
73,BTS oldest member Jin went solo after J-Hope and made his official debut with a single album,1.705473201215289,405,0,13,First Sentence
74,"Bangtan TV dropped a behind-the-scenes video aka BTS of BTS member Jungkook's recording Charlie Puth and his latest single, Left And Right",1.7064766251147765,120,0,20,First Sentence
75,"On 17th October, Big Hit Music announced that the Bangtan Boys RM, Jin, Suga, J-Hope, Jimin, Taehyung and Jungkook are planning on enlisting in the military soon starting with the eldest Bangtan Boys, Kim Seokjin",1.7071238262436546,668,0,19,First Sentence
76,Run BTS is one of the most popular songs of BTS aka the Bangtan Boys,1.7071710495764763,246,0,17,First Sentence
77,BTS members have been travelling all over the globe,1.707612085751649,708,0,18,First Sentence
78,"ARMY, BTS fandom, shared videos and pictures on social media platforms giving a glimpse of the members on stage",1.7078515943428616,334,0,27,First Sentence
79,"Billie Eilish's concert was held in Seoul, South Korea and it was attended by BTS' RM aka Kim Namjoon and J-Hope aka Jung Hoseok",1.7079635365193322,2,0,21,First Sentence
80,BTS member J-Hope left no crumbs at the Lollapalooza Festival,1.709628037130487,332,0,33,First Sentence
81,BTS leader RM aka Kim Namjoon is the only one from the septet who does not know how to drive,1.711470889969028,300,0,21,First Sentence
82,Run BTS is one of the best songs from BTS' anthology album Proof,1.7121137632909011,35,0,15,First Sentence
83,"A couple of days ago, J-Hope aka BTS' Jung Hoseok released the MV and song, the lead single of the new album Jack in the Box, More",1.7136716433680261,220,0,19,First Sentence
84,BTS leader RM aka Kim Namjoon is deep into art these days In,1.7136728346232837,705,0,20,First Sentence
85,Korean boy band BTS is world famous,1.7139422113989087,618,0,11,First Sentence
86,Korean boy band BTS is world famous And,1.7139422113989087,114,0,10,First Sentence
87,"BTS Jin aka Kim Seokjin is one of the most loved members of the biggest boy band, Bangtan Sonyeodan",1.7142426047195902,723,0,21,First Sentence
88,BTS is going to enlist in the Korean military with Jin being the first to head after releasing his solo song by end of October,1.7145971107455873,635,0,17,First Sentence
89,Run BTS' latest episode dropped on Weverse and on YouTube a couple of hours ago,1.7164212701125823,126,0,22,First Sentence
90,"BTS members - RM, Jin, Suga, J-Hope, Jimin, Taehyung and Jungkook - made their debut as Bangtan Seonyeodan aka BTS 9 years ago on 13 June 2013",1.716784212179516,354,0,19,First Sentence
91,"The oldest BTS members are Jin and Suga at 29, followed by J-Hope at 28, RM at 27, and Jimin and V at 26",1.7176901783906031,176,0,18,First Sentence
92,Fans of BTS had high hopes from Grammys 2021 and 2022 when BTS got nominations for Dynamite and Butter,1.7188938454957565,341,0,20,First Sentence
93,"Recently, Jungkook along with the other group members RM, Suga, J-Hope, Jimin, and V held a live session on V Live",1.7190771695245621,238,0,31,First Sentence
94,"BTS members RM, Jin, Suga, J-Hope, Jimin, V, and Jungkook featured in a new Bangtan Bomb video from last year as they prepared for the Jingle Ball 2021",1.7192601045796596,111,0,29,First Sentence
95,BTS member Kim Seokjin aka Jin created total ruckus on social media yesterday,1.7193172129976257,669,0,18,First Sentence
96,"Ahead of the release of BTS' anthology album, Jimin has revealed that he chose Filter and Friends for Proof Taking to Twitter, BTS' agency Big Hit Music on Wednesday shared a video in which Jimin spoke about his Proof of Inspiration",1.7199090385014022,499,0,18,First Sentence
97,"BTS member J-Hope has shared pictures of his first birthday gifts from fellow member Jin, ahead of the special occasion",1.720116798424703,352,0,17,First Sentence
98,"BTS RM aka Kim Namjoon is coming out with his album, Indigo on December 2, 2o22",1.7208699240308485,586,0,16,First Sentence
99,"Is BTS really on a hiatus? Well, hiatus or not, there is no dearth of content featuring the Bangtan Boys RM, Jin, Suga, J-Hope, Jimin, V and Jungkook",1.7235896262098602,652,0,20,First Sentence
100,BTS member RM aka Kim Namjoon has posted pics from a temple visit,1.7259088742393325,717,0,17,First Sentence
101,"Fans will soon receive new songs from Stray Kids at the end of the year On December 13, 2022 they announced the release of their new digital album SKZ-REPLAY",1.726672208974695,377,0,12,First Sentence
102,"Jin wrote, ""Hello, ARMY! Thank you for becoming an official member!",1.7279727365767932,142,0,19,First Sentence
103,BTS member J-Hope aka Jung Hoseok has reached Chicago,1.7289460823458436,5,0,16,First Sentence
104,BTS member Jungkook celebrated his 25th birthday yesterday,1.7296041460620006,727,0,24,First Sentence
105,"After RM's Indigo, it is Jimin from BTS who is giving the first good news with his new song Vibe with GDragon member Taeyang",1.729637802019192,573,0,16,First Sentence
106,"BTS member Jimin has dedicated a long letter to the ARMY, the group's fandom, saying that they want to be 'together with you guys for as long as it is possible' The group clocked their ninth debut anniversary on Monday and Jimin took to Weverse and penned a note for the fans BTS members RM, Jin, Suga, J-Hope, Jimin, V and Jungkook made their debut as a group on June 13, 2013",1.729646802891894,491,0,15,First Sentence
107,"Taking to Twitter, BTS' official account shared a 'new message' that 'arrived from Chris Martin for Kim Seokjin'",1.7296619882476003,214,0,17,First Sentence
108,Jungkook is in Qatar for the FIFA World Cup 2022,1.730051176773231,20,0,17,First Sentence
109,"After BTS members - RM, Jin, Suga, J-Hope, Jimin, V and Jungkook - delighted ARMY with a live on Weverse to mark the beginning of the holiday season, BTS member J-Hope dropped new pictures to wish ARMY on the occasion of Chuseok today",1.7300801020846321,9,0,14,First Sentence
110,BTS member Kim Taehyung and BLACKPINK rapper Jennie Kim are dating if a certain section on Twitter is to be believed,1.730388475207979,229,0,14,First Sentence
111,BTS members are global sensations The BTS ARMY has been lavishing extra love on the Bangtan Boys after the news of the military enlistment has come out,1.7306218753888514,308,0,20,First Sentence
112,BTS had a grand outing at The Fact Music Awards 2022,1.7309709810973695,30,0,14,First Sentence
113,BTS leader Kim Namjoon aka RM turned 28 (29 Korean Age) today,1.7324445663150065,605,0,20,First Sentence
114,"J-Hope of BTS, earlier released his debut solo album, Jack in the Box, featuring 10 tracks including the lead single 'More' and the follow-up 'Arson",1.7325210325388927,401,0,43,First Sentence
115,BTS member J-Hope is on a roll,1.732849843700841,725,0,20,First Sentence
116,"Bangtan Boys - RM, Jin, Suga, J-Hope, Jimin, Taehyung and Jungkook - had a blast on the last day of the BTS PTD Las Vegas concert",1.7331553516889122,380,0,37,First Sentence
117,"Jimin shared a post, as translated by Twitter user @BTStranslation_, ""It is been a while right?",1.7332466196342737,185,0,18,First Sentence
118,"BTS' eldest member Jin has shared pictures and a message for fans for the first time after he joined the South Korean military Taking to Weverse on Wednesday Jin posted his pictures including selfies In a photo, Jin is seen in his uniform as he stood with his arms on his sides",1.7335765883068894,804,0,16,First Sentence
119,The most popular South Korean pop band BTS is loved by all,1.7338265339675358,94,0,24,First Sentence
120,BTS is loved all over the world,1.7341921869678831,466,0,15,First Sentence
121,BTS member Jimin on Friday changed the profile picture and cover photo of the group's official Twitter handle,1.73448508198163,517,0,20,First Sentence
122,BTS rapper and lead dancer J-Hope aka Jung Hoseok is the main character of MAMA 2022,1.7344956673893905,247,0,20,First Sentence
123,BTS member Kim Seokjin aka Jin has the capacity to create diverse content,1.73469124172032,4,0,18,First Sentence
124,"Reacting to the post, fans took to Twitter and praised Jin",1.7373799091536677,34,0,10,First Sentence
125,"BTS dance leader, rapper and sub-vocalist J-Hope aka Jung Hoseok has just released his single, More",1.7379123794931408,242,0,17,First Sentence
126,BTS and ARMY have the relationship of best friends,1.7390471082910448,340,0,14,First Sentence
127,BTS' RM aka Kim Namjoon has been grabbing headlines a lot lately,1.7391816116881023,302,0,23,First Sentence
128,"BTS member Jin recently met with fellow group member J-Hope and shared pictures Taking to Instagram, Jin shared the selfies which he clicked inside a car For the photos, Jin opted for a purple shirt while J-Hope was dressed in a white shirt and a yellow half sweater",1.7398894775703078,688,0,16,First Sentence
129,RM performed the songs from his debut solo album Indigo live for the first time on December 5,1.7402344819856992,68,0,19,First Sentence
130,BTS member Jin performed The Astronaut with Coldplay in Argentina,1.7402715572495546,585,0,18,First Sentence
131,The live video began with Jin talking about his close friend Jungkook,1.740551917076829,50,0,17,First Sentence
132,"In the video, Jungkook said, ""I got to feature in Charlie Puth's new song Left and",1.7406962696990065,42,0,21,First Sentence
133,BTS' youngest member Jungkook came online on Weverse a couple of minutes ago,1.740713436415978,803,0,20,First Sentence
134,BTS member V aka Kim Taehyung took to his social media handle to share some pics from his Mexico trip,1.741749140964293,631,0,17,First Sentence
135,BTS ARMY is going gaga over Park Jimin aka Jimin's first solo release since the announcement of BTS Chapter 2,1.7417678785884934,748,0,17,First Sentence
136,Rapper Snoop Dogg has confirmed his collaboration with K-pop group BTS for an upcoming project,1.7423614955652038,335,0,27,First Sentence
137,"BTS will be holding a free in-person concert in Busan, South Korea on October 15",1.7434163380892365,637,0,10,First Sentence
138,"All Day With Kim Namjoon introduced the fans of the group to BTS member RMs not-so-humble, humble abode",1.7437021731353102,378,0,7,First Sentence
139,BTS ARMY finally got to see the emotions of the boys as they bid Jin aka Kim Seokjin good-bye for his military training,1.7437122683818143,436,0,17,First Sentence
140,"BTS members - RM, Jin, Suga, J-Hope, Jimin, Taehyung and Jungkook - recently grabbed attention when they attended the Busan World Expo 2030 ambassador appointment ceremony a couple of days ago",1.7446610614108138,231,0,18,First Sentence
141,"Reacting to the post, a BTS ARMY said, ""Jungkook was not lying when he said 'please wait for sexy Jungkook next time'""",1.744891240239646,18,0,19,First Sentence
142,Korean boy band BTS is not just famous for their songs but their fans love them immensely for the kind of bond they share with each other,1.7450860311042768,93,0,9,First Sentence
143,"On Thursday, J-Hope, lovingly known as Hobi among fans and BTS members, shared pictures of his MAMA 2022 look on Instagram",1.7451084683573936,263,0,15,First Sentence
144,BTS member J-Hope recently performed at Lollapalooza and he was the first Korean act to headline the festival,1.7453972471499044,476,0,11,First Sentence
145,Both SEVENTEEN and BTS are South Korean boy bands,1.7454435779232074,76,0,19,First Sentence
146,BTS aka Bangtan Boys are ruling Instagram and how!,1.7462401790409936,624,0,16,First Sentence
147,BTS ARMY today got the content they had been wanting since a long time,1.7466531460560737,55,0,15,First Sentence
148,"BTS members - RM, Jin, Suga, J-Hope, Jimin, Taehyung and Jungkook - also known as the Bangtan Boys have been ruling the hearts since 2013, their debut showcase",1.7468601825448606,187,0,30,First Sentence
149,"RM, Suga, J-Hope, Jimin, V, and Jungkook accompanied Jin ahead of his departure for military service",1.7472555026230006,57,0,11,First Sentence
150,"A user on Instagram told BTS' Jungkook, as translated by Twitter user BTStranslation_, ""Are you bored?",1.7473831539934417,167,0,22,First Sentence
151,"Last year in December, BTS members - RM, Jin, Suga, J-Hope, Jimin, Taehyung and Jungkook - made their Instagram debut and all hell broke loose",1.7477292928456432,43,0,27,First Sentence
152,BTS member RM aka Kim Namjoon is back in Korea after a brief vacation in Europe,1.7477834932227276,299,0,19,First Sentence
153,BTS members are always in the news,1.7479702229261125,45,0,13,First Sentence
154,"While the members of the Korean boy band BTS are known for their music, they are also known for their incredibly good looks Be it",1.7482323738706076,682,0,13,First Sentence
155,"BTS, or Bangtan Sonyeondan, a septet comprising Jin, Suga, J-Hope, RM, Jimin, V, and Jungkook, are considered one of the hottest K-pop bands in the global music industry",1.7488451132773382,675,0,12,First Sentence
156,"During the concert, Jin was seen with greenish-grey hair",1.7489419207525096,115,0,25,First Sentence
157,BTS member RM aka Kim Namjoon's Swiss vlog is out,1.7491630170547696,274,0,13,First Sentence
158,"BTS ARMY, it is the birthday season Three of the Bangtan Boys RM, Jimin and Jungkook celebrate their birthdays in the coming two months",1.7512367357752672,272,0,25,First Sentence
159,BTS members value their private lives immensely RM aka Kim Namjoon is the one who shares a lot with ARMY,1.7516968399722024,535,0,25,First Sentence
160,You would be living under a rock if you did not know about the Korean boy band BTS,1.7519074273736897,243,0,9,First Sentence
161,BTS member Jungkook aka Jeon Jungkook's Photo Folio shoot's making sketch,1.7523224627242298,331,0,23,First Sentence
162,BTS' Golden Maknae Jungkook aka Jeon Junkook has sent ARMY into a meltdown with his latest picture on the official Twitter handle of Big Hit,1.7527213019187802,763,0,21,First Sentence
163,"It was just a couple of days ago that BTS V, that is, Kim Taehyung returned to South Korea from his Mexico trip",1.7534833726128503,562,0,24,First Sentence
164,BTS member Kim Taehyung aka V's dating rumour with Blackpink's Jennie has been making immense news throughout 2022,1.7535671169637441,215,0,14,First Sentence
165,"While BTS members are world famous, the boys have kept their families quite private",1.7538021493912999,158,0,15,First Sentence
166,BTS agency Big Hit came forward after reports about Park Jimin's solo album started doing rounds online Some,1.7540290617537477,784,0,10,First Sentence
167,"Bangtan Boys RM, Jin, Suga, J-hope, Jimin, Taehyung and Jungkook have been global icons not just for their music, their goofiness and charm, but also for thought processes and styles",1.754531568111486,592,0,16,First Sentence
168,BTS V aka Kim Taehyung has taken over everyone is hearts with his Instagram stories,1.7549304983660714,37,0,19,First Sentence
169,BTS member Jeon Jungkook will be turning a year older on September 1,1.7550000171464168,440,0,16,First Sentence
170,BTS member J-Hope performed at the New Year's Times Square celebrations held at New York in the US,1.7552249792186125,343,0,18,First Sentence
171,"After introducing themselves, in the video, Jin said, ""We are here for you with a very special invitation""",1.7552667552163694,98,0,21,First Sentence
172,"BTS fans, known as ARMY, have gone crazy over a new video clip that has been circulating on social media and justifiably so",1.7559225003292216,236,0,15,First Sentence
173,BTS fans are known to be competitive,1.7563052286727667,788,0,18,First Sentence
174,BTS' Kim Taehyung aka V has clocked 27 years today,1.7563265135273245,244,0,18,First Sentence
175,BTS fans also known as ARMY need no reason to go crazy over the Bangtan boys,1.7565044730378487,116,0,12,First Sentence
176,1 BTS BTS is a South Korean boy band formed in 2010 and debuting in 2013 under BIGHIT MUSIC,1.7567278410395384,524,0,19,First Sentence
177,BTS member Min Yoongi aka SUGA is one of the hottest producers in the Korean music industry But,1.7571887047220125,108,0,13,First Sentence
178,BTS members held a stunning concert in Busan which was attended by over 100K ARMYs live and millions online,1.757515277053683,606,0,16,First Sentence
179,All that is been trending in BTS right now is the dating rumours of Kim Taehyung with Blackpink's Jennie,1.75785247253805,610,0,18,First Sentence
180,"BTS member Jimin's first-ever OST, With You, for the K-drama Our Blues was released on Sunday",1.757974782756896,406,0,29,First Sentence
181,South Korean boyband BTS is reigning not just in hearts but also the music world with their amazing songs,1.7585687422317131,95,0,26,First Sentence
182,"When a fan called the videos fun, Jin said, ""I should have made a few more I do not really have any left""",1.759366475961319,324,0,15,First Sentence
183,BTS' J-Hope aka Jung Hoseok's Jack In The Box Listening Party was held a couple of days ago and a lot of celebrities from the Korean pop world and industry attended the same alongside the Bangtan Boys,1.759366669444624,228,0,18,First Sentence
184,"BTS' concert in Busan: On October 15th, BTS will hold a concert 'BTS 'Yet To Come' in BUSAN' to pray for the 2030 Busan World Expo at the Busan Asiad Main Stadium",1.759562416889808,409,0,17,First Sentence
185,BTS has always shared interesting content with the BTS ARMY throughout the years,1.7598178683710313,403,0,16,First Sentence
186,"The youngest BTS member, Jungkook who is currently in Qatar for FIFA World Cup, posted a short video clip on Instagram flaunting his smooth moves on the track",1.7599267705726183,36,0,17,First Sentence
187,"The issue of military service for the seven members of the group has been a topic of discussion in the country as BTS' oldest member, Jin, faces enlistment in December when he turns 30",1.7606284054819428,304,0,14,First Sentence
188,K-pop boy band BTS is all about bonding While,1.760676717010197,563,0,9,First Sentence
189,BTS leader RM aka Kim Namjoon has given fans many inspiring messages,1.7608278676487623,105,0,16,First Sentence
190,The South Korean pop band BTS has always managed to surprise their ARMYs with their music,1.7613079205097497,101,0,12,First Sentence
191,"BTS fans are over the moon  J-Hope aka Jung Hoseok told fans that he was nervous but excited about his first album, Jack In The Box",1.7613342717196574,699,0,16,First Sentence
192,January 9 has been declared as Jungkook Day since Jungkook himself said that it will be a day for ARMYs and him so on this day all the fans come together and share the best moments shared with him over the year and what they look forward to in the new year This special day holds a lot of meaning for the both of them Jungkooks achievements:,1.7613747508266355,677,0,19,First Sentence
193,BigHit Entertainment shared a new poster featuring the band as they announced the performance on social media on June 6,1.7631720586562745,118,0,19,First Sentence
194,"Fans got a surprise as BTS member Jimin is all set to collaborate with Taeyang from Big Bang for a new song Taking to Twitter, BTS_official made the announcement on Wednesday Taeyang also shared the news on his Twitter account (Also Read | BTS' Jimin sends new year wishes to ARMY in a long letter, Jungkook, J-Hope join)The single track titled Vibe by Taeyang will star Jimin too",1.7635631975700619,506,0,20,First Sentence
195,"BTS maknaes Jungkook, Kim Taehyung and Jimin have millions of fans And some are pretty obsessive ones",1.7636502407775871,459,0,14,First Sentence
196,BTS' Kim Seokjin aka Jin jetted off to LA for his personal schedule,1.7641629724458465,253,0,14,First Sentence
197,"BTS member Jungkook recently surprised his fans with a live session, but things did not go as smoothly as planned The BTS member, who is currently in the United States, started getting prank calls as he was interacting with his fans on the South Korean platform Weverse",1.764171667679638,657,0,26,First Sentence
198,BTS V aka Kim Taehyung ended the Weverse drought a couple of hours ago,1.7643343629049275,88,0,19,First Sentence
199,K-pop band BTS has a huge fan following across the globe There,1.7648105945700379,268,0,15,First Sentence
200,BTS Jin has even more fun up his sleeve!,1.765550082565681,423,0,7,First Sentence
201,BTS is mobbed by fans all over,1.765718723719499,77,0,14,First Sentence
202,"BTS vocalist Jungkook and Charlie Puth gave us the song of the summer with the collab, Left and Right",1.7664092418245358,715,0,18,First Sentence
203,"BTS member Jin aka Kim Seok Jin is all set to join the mandatory military service in South Korea Ahead of his enlistment, the singer posted selfies of himself on fan community, Weverse, in his latest look as per the guidelines of the army He opted for a buzz cut, featuring extremely short hair and wore a basic black T-shirt (Also read: Jin gets a sweet surprise from J-Hope ahead of his military enlistment)Reacting to Jin's new picture, a fan, aka part of the BTS Army, wrote on Twitter, How can he look still beautiful",1.766452848946439,678,0,7,First Sentence
204,"BTS' eldest member Jin, who is serving in South Korean Army, dropped a special message for fans in a video It has been recorded during the time he was filming for the Korean variety show, Running Man In the emotional video shared on their channel Bangtan TV, Jin urged fans to wait for him as he wraps up his mandatory service which requires 18 months Also read: Inside BTS' Jin's Argentina trip with food, video games ahead of Coldplay concertIn the video, Kim Seok Jin says, Hello everyone, this is Jin of BTS I will not be a civilian by the time the video is out",1.7675110019379094,672,0,12,First Sentence
205,BTS member J-Hope is all set to mark a 'memorable chapter' in his music career,1.7680326185531274,633,0,13,First Sentence
206,"As translated by Twitter user @BTStranslation_, Jimin wrote, ""ARMY, you all, this is Jimin You all have been doing well right? This time we visited the US",1.7680834564977899,190,0,21,First Sentence
207,"A BTS fan on Instagram asked Jungkook, Tell us why Jungkookie changed his ID!",1.7682057045259216,232,0,19,First Sentence
208,BTS has a huge fan base in India,1.7682246268857267,567,0,18,First Sentence
209,"BTS is by far among the most popular bands of all time, with BTS members Jin, J-Hope, Jimin, Jungkook, V, Suga and RM enjoying fame, fans and impact that transcends all ethnic, cultural and geographical demographics",1.7682747922147828,498,0,10,First Sentence
210,"A fan asked, ""Are there any presents for ARMYs from Jimin?"" He responded, ""A present, just a moment""",1.768607495466577,90,0,24,First Sentence
